scope,metric,rain_leads_weeks,pearson_raw,spearman_raw,pearson_anomaly,weeks,active_weeks,analysis_start,analysis_end
Surigao-Dinagat-Caraga,shipments,0,-0.3201137000619872,-0.3392535007650823,0.017473642893350422,260,239,2021-01-04,2025-12-22
Surigao-Dinagat-Caraga,shipments,1,-0.35583644991533825,-0.3761867068110198,-0.050364475257027946,259,239,2021-01-04,2025-12-22
Surigao-Dinagat-Caraga,shipments,2,-0.41925495459125617,-0.44854543166548916,-0.250037606068848,258,239,2021-01-04,2025-12-22
Surigao-Dinagat-Caraga,shipments,3,-0.3456028676059164,-0.3710378516874904,-0.05233550085907118,257,239,2021-01-04,2025-12-22
Surigao-Dinagat-Caraga,shipments,4,-0.3005502008627187,-0.3467257279188262,0.04573733747814249,256,239,2021-01-04,2025-12-22
Surigao-Dinagat-Caraga,volume_mt,0,-0.32007568264902814,-0.3404216277256973,0.018213000912106595,260,239,2021-01-04,2025-12-22
Surigao-Dinagat-Caraga,volume_mt,1,-0.3535153546178938,-0.3728619574052901,-0.046995324703966,259,239,2021-01-04,2025-12-22
Surigao-Dinagat-Caraga,volume_mt,2,-0.41290547187617427,-0.4408678685400124,-0.23375112372329873,258,239,2021-01-04,2025-12-22
Surigao-Dinagat-Caraga,volume_mt,3,-0.34260618821369004,-0.3664425317363495,-0.04130504186020433,257,239,2021-01-04,2025-12-22
Surigao-Dinagat-Caraga,volume_mt,4,-0.2992843002506181,-0.34490234172436157,0.05260324765851194,256,239,2021-01-04,2025-12-22
Palawan,shipments,0,0.03170510904332566,0.014143305061395923,0.16858950904797437,260,203,2021-01-04,2025-12-22
Palawan,shipments,1,-0.05636544597991778,-0.09545759256508776,-0.035544640440101,259,203,2021-01-04,2025-12-22
Palawan,shipments,2,-0.09665725227603167,-0.09838217929867628,-0.06333976440701798,258,203,2021-01-04,2025-12-22
Palawan,shipments,3,-0.051254863514592075,-0.059588840317939075,-0.02321926438696552,257,203,2021-01-04,2025-12-22
Palawan,shipments,4,-0.04951073468062734,-0.06089074460697738,0.008907398495169007,256,203,2021-01-04,2025-12-22
Palawan,volume_mt,0,0.018482139335309407,0.016462829036808714,0.1510701409856571,260,203,2021-01-04,2025-12-22
Palawan,volume_mt,1,-0.060344077069157794,-0.06920332621463504,-0.04062505294205118,259,203,2021-01-04,2025-12-22
Palawan,volume_mt,2,-0.0974352915388073,-0.06616112327864226,-0.06506100230308533,258,203,2021-01-04,2025-12-22
Palawan,volume_mt,3,-0.05887915427227935,-0.05985737021837561,-0.029385225850580784,257,203,2021-01-04,2025-12-22
Palawan,volume_mt,4,-0.05212751132147128,-0.03827372353740181,0.005219384242361543,256,203,2021-01-04,2025-12-22
Zambales-Luzon,shipments,0,-0.39093276734321475,-0.5074699078832678,-0.05009744028487569,260,183,2021-01-04,2025-12-22
Zambales-Luzon,shipments,1,-0.3758305666543345,-0.43529703238084066,0.01261147303969431,259,183,2021-01-04,2025-12-22
Zambales-Luzon,shipments,2,-0.37908990467086223,-0.4711718536696841,0.00511496760526467,258,183,2021-01-04,2025-12-22
Zambales-Luzon,shipments,3,-0.36798955845813486,-0.4612271052167941,-0.015717068818759217,257,183,2021-01-04,2025-12-22
Zambales-Luzon,shipments,4,-0.3351153578143235,-0.40218388892754114,0.004183584189431878,256,183,2021-01-04,2025-12-22
Zambales-Luzon,volume_mt,0,-0.3931612821468023,-0.5085976946217561,-0.05071812391228346,260,183,2021-01-04,2025-12-22
Zambales-Luzon,volume_mt,1,-0.3750410412254147,-0.42532243429966393,0.016525753557221197,259,183,2021-01-04,2025-12-22
Zambales-Luzon,volume_mt,2,-0.3784793480752083,-0.4739219433868219,0.006830329747551005,258,183,2021-01-04,2025-12-22
Zambales-Luzon,volume_mt,3,-0.3658511213472795,-0.44582741939976134,-0.009895537775702812,257,183,2021-01-04,2025-12-22
Zambales-Luzon,volume_mt,4,-0.33405798419541444,-0.38967048969376433,0.006266867582062499,256,183,2021-01-04,2025-12-22
Tawi-Tawi,shipments,0,0.02120231913203547,0.05694330202479402,0.057932766769655836,260,144,2021-01-04,2025-12-22
Tawi-Tawi,shipments,1,-0.001381954782633475,-0.005424795806833552,-0.03229149225603389,259,144,2021-01-04,2025-12-22
Tawi-Tawi,shipments,2,-0.012260489278263818,0.007891974195968572,0.05398501921815118,258,144,2021-01-04,2025-12-22
Tawi-Tawi,shipments,3,0.04049765808888375,0.07694071386995419,0.06988529652664374,257,144,2021-01-04,2025-12-22
Tawi-Tawi,shipments,4,0.06042496985749209,0.09372192194540821,0.04760214219833775,256,144,2021-01-04,2025-12-22
Tawi-Tawi,volume_mt,0,0.018517484338083333,0.04129269681167033,0.05678005720331266,260,144,2021-01-04,2025-12-22
Tawi-Tawi,volume_mt,1,-0.0035148262964944704,-0.013722846565942283,-0.03562956305371429,259,144,2021-01-04,2025-12-22
Tawi-Tawi,volume_mt,2,-0.012626564946402415,-0.007889669848110025,0.0547853373515042,258,144,2021-01-04,2025-12-22
Tawi-Tawi,volume_mt,3,0.04195761624498859,0.0692594244387661,0.0714141643132589,257,144,2021-01-04,2025-12-22
Tawi-Tawi,volume_mt,4,0.061719340491403214,0.08828593146926075,0.048649892913572024,256,144,2021-01-04,2025-12-22
Eastern Samar,shipments,0,-0.2572834674696837,-0.2703938982095402,-0.12398493904339523,260,165,2021-01-04,2025-12-22
Eastern Samar,shipments,1,-0.2792790876785123,-0.31408217760181134,-0.13795193581799384,259,165,2021-01-04,2025-12-22
Eastern Samar,shipments,2,-0.298387047207092,-0.3326283137033314,-0.16419847443695534,258,165,2021-01-04,2025-12-22
Eastern Samar,shipments,3,-0.2618833946922348,-0.3050605485540749,-0.1336666465106514,257,165,2021-01-04,2025-12-22
Eastern Samar,shipments,4,-0.29021507584713396,-0.33403465178336167,-0.17038438204633513,256,165,2021-01-04,2025-12-22
