scope,metric,month,pearson_raw,months
Other-Check,shipments,2023-07-01,0.09512278979393257,24
Other-Check,volume_mt,2023-07-01,0.09018695203363382,24
Other-Check,shipments,2023-08-01,0.09450471843332477,24
Other-Check,volume_mt,2023-08-01,0.08775015305360007,24
Other-Check,shipments,2023-09-01,0.11682961372648208,24
Other-Check,volume_mt,2023-09-01,0.11243365549027047,24
Other-Check,shipments,2023-10-01,0.15080602258865713,24
Other-Check,volume_mt,2023-10-01,0.14660687506167824,24
Other-Check,shipments,2023-11-01,0.16471528440617597,24
Other-Check,volume_mt,2023-11-01,0.16062392653047938,24
Other-Check,shipments,2023-12-01,0.2406291375981582,24
Other-Check,volume_mt,2023-12-01,0.23679581722131834,24
Other-Check,shipments,2024-01-01,0.23625539849413046,24
Other-Check,volume_mt,2024-01-01,0.23235789522355646,24
Other-Check,shipments,2024-02-01,0.26883311602658094,24
Other-Check,volume_mt,2024-02-01,0.26564455182865415,24
Other-Check,shipments,2024-03-01,0.33563139241122064,24
Other-Check,volume_mt,2024-03-01,0.33317302769561996,24
Other-Check,shipments,2024-04-01,0.26169410527182363,24
Other-Check,volume_mt,2024-04-01,0.2691651947956637,24
Other-Check,shipments,2024-05-01,0.1958426713999806,24
Other-Check,volume_mt,2024-05-01,0.20629734389048837,24
Other-Check,shipments,2024-06-01,0.2604356840751009,24
Other-Check,volume_mt,2024-06-01,0.2739482712421857,24
Other-Check,shipments,2024-07-01,0.26117544875605675,24
Other-Check,volume_mt,2024-07-01,0.2681034608014983,24
Other-Check,shipments,2024-08-01,0.26101677121038586,24
Other-Check,volume_mt,2024-08-01,0.26770740572440715,24
Other-Check,shipments,2024-09-01,0.266164169542541,24
Other-Check,volume_mt,2024-09-01,0.2733840731660439,24
Other-Check,shipments,2024-10-01,0.360607966288837,24
Other-Check,volume_mt,2024-10-01,0.36836824949580493,24
Other-Check,shipments,2024-11-01,0.3277979011607477,24
Other-Check,volume_mt,2024-11-01,0.33785116325834796,24
Other-Check,shipments,2024-12-01,0.28614289154387557,24
Other-Check,volume_mt,2024-12-01,0.29577636677521785,24
Other-Check,shipments,2025-01-01,0.3661623304046678,24
Other-Check,volume_mt,2025-01-01,0.376538263146895,24
Other-Check,shipments,2025-02-01,0.3378085161788861,24
Other-Check,volume_mt,2025-02-01,0.3480149206591073,24
Other-Check,shipments,2025-03-01,0.31115336307866864,24
Other-Check,volume_mt,2025-03-01,0.320116633186878,24
Other-Check,shipments,2025-04-01,0.11412263566716942,24
Other-Check,volume_mt,2025-04-01,0.11625122565957363,24
Other-Check,shipments,2025-05-01,0.1366822815200898,24
Other-Check,volume_mt,2025-05-01,0.1378709914258912,24
Other-Check,shipments,2025-06-01,0.13134780359606646,24
Other-Check,volume_mt,2025-06-01,0.13271537089998223,24
Other-Check,shipments,2025-07-01,0.08755087292410486,24
Other-Check,volume_mt,2025-07-01,0.08989676312877316,24
Other-Check,shipments,2025-08-01,0.132345428750199,24
Other-Check,volume_mt,2025-08-01,0.1345812602085187,24
Other-Check,shipments,2025-09-01,0.15560160112083832,24
Other-Check,volume_mt,2025-09-01,0.1611757424607084,24
Other-Check,shipments,2025-10-01,0.19440740013655847,24
Other-Check,volume_mt,2025-10-01,0.20300228404645945,24
Other-Check,shipments,2025-11-01,0.22293838897467974,24
Other-Check,volume_mt,2025-11-01,0.23615942561278075,24
Other-Check,shipments,2025-12-01,0.20895922560211608,24
Other-Check,volume_mt,2025-12-01,0.223856167435608,24
Palawan,shipments,2022-12-01,-0.16039120024591047,24
Palawan,volume_mt,2022-12-01,-0.14960281275774906,24
Palawan,shipments,2023-01-01,-0.1376307181451742,24
Palawan,volume_mt,2023-01-01,-0.13656637691326973,24
Palawan,shipments,2023-02-01,-0.08905401034631409,24
Palawan,volume_mt,2023-02-01,-0.09170221524548215,24
Palawan,shipments,2023-03-01,-0.07236575697759282,24
Palawan,volume_mt,2023-03-01,-0.0777543473267647,24
Palawan,shipments,2023-04-01,0.014421267585035893,24
Palawan,volume_mt,2023-04-01,0.024418094104334962,24
Palawan,shipments,2023-05-01,0.029195485533643914,24
Palawan,volume_mt,2023-05-01,0.04085001245467492,24
Palawan,shipments,2023-06-01,0.0024814122425073056,24
Palawan,volume_mt,2023-06-01,0.021865780312970703,24
Palawan,shipments,2023-07-01,-0.01347345286126072,24
Palawan,volume_mt,2023-07-01,0.006856420956218577,24
Palawan,shipments,2023-08-01,0.008633512785136039,24
Palawan,volume_mt,2023-08-01,0.029631426787954454,24
Palawan,shipments,2023-09-01,0.05972221013284724,24
Palawan,volume_mt,2023-09-01,0.08685270000586512,24
Palawan,shipments,2023-10-01,0.027426050727990887,24
Palawan,volume_mt,2023-10-01,0.052992781723197435,24
Palawan,shipments,2023-11-01,0.003691056648509818,24
Palawan,volume_mt,2023-11-01,0.02405430814161777,24
Palawan,shipments,2023-12-01,0.03293935056570666,24
Palawan,volume_mt,2023-12-01,0.0540701776878504,24
Palawan,shipments,2024-01-01,0.048058569250192126,24
Palawan,volume_mt,2024-01-01,0.06587751466941993,24
Palawan,shipments,2024-02-01,0.14341512655533697,24
Palawan,volume_mt,2024-02-01,0.14256381863915216,24
Palawan,shipments,2024-03-01,0.057666258458587125,24
Palawan,volume_mt,2024-03-01,0.052246830446987545,24
Palawan,shipments,2024-04-01,-0.025634897553490858,24
Palawan,volume_mt,2024-04-01,-0.03103644297275235,24
Palawan,shipments,2024-05-01,-0.06777241191611111,24
Palawan,volume_mt,2024-05-01,-0.07375915812359708,24
Palawan,shipments,2024-06-01,-0.1339768621803998,24
Palawan,volume_mt,2024-06-01,-0.13879896735139674,24
Palawan,shipments,2024-07-01,-0.10652764075393938,24
Palawan,volume_mt,2024-07-01,-0.11492073172662733,24
Palawan,shipments,2024-08-01,-0.10551992428514911,24
Palawan,volume_mt,2024-08-01,-0.1147176641004005,24
Palawan,shipments,2024-09-01,-0.07423521149770267,24
Palawan,volume_mt,2024-09-01,-0.08513479663051705,24
Palawan,shipments,2024-10-01,-0.03206663013470966,24
Palawan,volume_mt,2024-10-01,-0.02965948099468914,24
Palawan,shipments,2024-11-01,-0.07410811710091982,24
Palawan,volume_mt,2024-11-01,-0.058815512980952174,24
Palawan,shipments,2024-12-01,-0.20195568963388186,24
Palawan,volume_mt,2024-12-01,-0.19846150405419838,24
