region_group,shipments_weight,volume_mt_weight
Eastern Samar,0.13361123299692848,0.13185152358221117
Other-Check,0.012944273804300131,0.013148553712826107
Palawan,0.08468626590609916,0.08255555954443101
Surigao-Dinagat-Caraga,0.6371215445370777,0.6393886555590123
Tawi-Tawi,0.04892496709082931,0.04970526442902008
Zambales-Luzon,0.08271171566476525,0.08335044317249933
