scope,metric,week_start,pearson_raw,weeks
Surigao-Dinagat-Caraga,volume_mt,2022-08-22,-0.21773966090642843,52
Surigao-Dinagat-Caraga,shipments,2022-08-29,-0.21421133998872555,52
Surigao-Dinagat-Caraga,volume_mt,2022-08-29,-0.21082474396294884,52
Surigao-Dinagat-Caraga,shipments,2022-09-05,-0.24187383062784357,52
Surigao-Dinagat-Caraga,volume_mt,2022-09-05,-0.23822100937386506,52
Surigao-Dinagat-Caraga,shipments,2022-09-12,-0.2649939817099611,52
Surigao-Dinagat-Caraga,volume_mt,2022-09-12,-0.26142149981537277,52
Surigao-Dinagat-Caraga,shipments,2022-09-19,-0.2732788690465785,52
Surigao-Dinagat-Caraga,volume_mt,2022-09-19,-0.2698762247005991,52
Surigao-Dinagat-Caraga,shipments,2022-09-26,-0.2858915048877097,52
Surigao-Dinagat-Caraga,volume_mt,2022-09-26,-0.2822468407599361,52
Surigao-Dinagat-Caraga,shipments,2022-10-03,-0.3052506425390414,52
Surigao-Dinagat-Caraga,volume_mt,2022-10-03,-0.3020385824205678,52
Surigao-Dinagat-Caraga,shipments,2022-10-10,-0.31666254320842674,52
Surigao-Dinagat-Caraga,volume_mt,2022-10-10,-0.31404381972585005,52
Surigao-Dinagat-Caraga,shipments,2022-10-17,-0.31463246825724334,52
Surigao-Dinagat-Caraga,volume_mt,2022-10-17,-0.3121015977597831,52
Surigao-Dinagat-Caraga,shipments,2022-10-24,-0.30422351186543733,52
Surigao-Dinagat-Caraga,volume_mt,2022-10-24,-0.3018637444175996,52
Surigao-Dinagat-Caraga,shipments,2022-10-31,-0.28850945373178755,52
Surigao-Dinagat-Caraga,volume_mt,2022-10-31,-0.28652548252348786,52
Surigao-Dinagat-Caraga,shipments,2022-11-07,-0.28599375566696617,52
Surigao-Dinagat-Caraga,volume_mt,2022-11-07,-0.28434155698559976,52
Surigao-Dinagat-Caraga,shipments,2022-11-14,-0.31003761998094337,52
Surigao-Dinagat-Caraga,volume_mt,2022-11-14,-0.3089442362777019,52
Surigao-Dinagat-Caraga,shipments,2022-11-21,-0.30364872243432006,52
Surigao-Dinagat-Caraga,volume_mt,2022-11-21,-0.30262397595160095,52
Surigao-Dinagat-Caraga,shipments,2022-11-28,-0.30689751026375783,52
Surigao-Dinagat-Caraga,volume_mt,2022-11-28,-0.3056440757906958,52
Surigao-Dinagat-Caraga,shipments,2022-12-05,-0.29087679618610984,52
Surigao-Dinagat-Caraga,volume_mt,2022-12-05,-0.28976306856773365,52
Surigao-Dinagat-Caraga,shipments,2022-12-12,-0.2444157920092865,52
Surigao-Dinagat-Caraga,volume_mt,2022-12-12,-0.24354032165148667,52
Surigao-Dinagat-Caraga,shipments,2022-12-19,-0.29416603219080184,52
Surigao-Dinagat-Caraga,volume_mt,2022-12-19,-0.29252918054038496,52
Surigao-Dinagat-Caraga,shipments,2022-12-26,-0.3112272799424185,52
Surigao-Dinagat-Caraga,volume_mt,2022-12-26,-0.30943513024687064,52
Surigao-Dinagat-Caraga,shipments,2023-01-02,-0.3501665939116608,52
Surigao-Dinagat-Caraga,volume_mt,2023-01-02,-0.34820872438092604,52
Surigao-Dinagat-Caraga,shipments,2023-01-09,-0.3762674376746556,52
Surigao-Dinagat-Caraga,volume_mt,2023-01-09,-0.3737117463096758,52
Surigao-Dinagat-Caraga,shipments,2023-01-16,-0.37686819952425377,52
Surigao-Dinagat-Caraga,volume_mt,2023-01-16,-0.3744072748512197,52
Surigao-Dinagat-Caraga,shipments,2023-01-23,-0.3963044647708867,52
Surigao-Dinagat-Caraga,volume_mt,2023-01-23,-0.3934391560592696,52
Surigao-Dinagat-Caraga,shipments,2023-01-30,-0.41173130894395576,52
Surigao-Dinagat-Caraga,volume_mt,2023-01-30,-0.4087007216681895,52
Surigao-Dinagat-Caraga,shipments,2023-02-06,-0.4005502562858239,52
Surigao-Dinagat-Caraga,volume_mt,2023-02-06,-0.3976720259132568,52
Surigao-Dinagat-Caraga,shipments,2023-02-13,-0.44823511238926733,52
Surigao-Dinagat-Caraga,volume_mt,2023-02-13,-0.44489125059037504,52
Surigao-Dinagat-Caraga,shipments,2023-02-20,-0.43426236149986386,52
Surigao-Dinagat-Caraga,volume_mt,2023-02-20,-0.43108365199782234,52
Surigao-Dinagat-Caraga,shipments,2023-02-27,-0.42917582635705753,52
Surigao-Dinagat-Caraga,volume_mt,2023-02-27,-0.42629381085112195,52
Surigao-Dinagat-Caraga,shipments,2023-03-06,-0.41864473282129366,52
Surigao-Dinagat-Caraga,volume_mt,2023-03-06,-0.4137273986459723,52
Surigao-Dinagat-Caraga,shipments,2023-03-13,-0.42599459976968057,52
Surigao-Dinagat-Caraga,volume_mt,2023-03-13,-0.42079891746271464,52
Surigao-Dinagat-Caraga,shipments,2023-03-20,-0.4173601283257819,52
Surigao-Dinagat-Caraga,volume_mt,2023-03-20,-0.4141319814403461,52
Surigao-Dinagat-Caraga,shipments,2023-03-27,-0.4117607984383948,52
Surigao-Dinagat-Caraga,volume_mt,2023-03-27,-0.4070446259000088,52
Surigao-Dinagat-Caraga,shipments,2023-04-03,-0.4739391683976772,52
Surigao-Dinagat-Caraga,volume_mt,2023-04-03,-0.47036195715735707,52
Surigao-Dinagat-Caraga,shipments,2023-04-10,-0.46969716142956935,52
Surigao-Dinagat-Caraga,volume_mt,2023-04-10,-0.4661300331063797,52
Surigao-Dinagat-Caraga,shipments,2023-04-17,-0.46743571354120284,52
Surigao-Dinagat-Caraga,volume_mt,2023-04-17,-0.46425658151781235,52
Surigao-Dinagat-Caraga,shipments,2023-04-24,-0.4688792472467548,52
Surigao-Dinagat-Caraga,volume_mt,2023-04-24,-0.46591818898220494,52
Surigao-Dinagat-Caraga,shipments,2023-05-01,-0.4547504453106801,52
Surigao-Dinagat-Caraga,volume_mt,2023-05-01,-0.4511734366164134,52
Surigao-Dinagat-Caraga,shipments,2023-05-08,-0.45599152505583046,52
Surigao-Dinagat-Caraga,volume_mt,2023-05-08,-0.45278000052894024,52
Surigao-Dinagat-Caraga,shipments,2023-05-15,-0.47615637176753267,52
Surigao-Dinagat-Caraga,volume_mt,2023-05-15,-0.4748358164493335,52
Surigao-Dinagat-Caraga,shipments,2023-05-22,-0.4900014122338728,52
Surigao-Dinagat-Caraga,volume_mt,2023-05-22,-0.4888562612347669,52
Surigao-Dinagat-Caraga,shipments,2023-05-29,-0.4995763669402854,52
Surigao-Dinagat-Caraga,volume_mt,2023-05-29,-0.49736851620804134,52
Surigao-Dinagat-Caraga,shipments,2023-06-05,-0.49709778813996386,52
Surigao-Dinagat-Caraga,volume_mt,2023-06-05,-0.49468026610713006,52
Surigao-Dinagat-Caraga,shipments,2023-06-12,-0.4934083308889865,52
Surigao-Dinagat-Caraga,volume_mt,2023-06-12,-0.4911136763728501,52
Surigao-Dinagat-Caraga,shipments,2023-06-19,-0.481652111876117,52
Surigao-Dinagat-Caraga,volume_mt,2023-06-19,-0.4807105491214054,52
Surigao-Dinagat-Caraga,shipments,2023-06-26,-0.4832851229634577,52
Surigao-Dinagat-Caraga,volume_mt,2023-06-26,-0.48245917689867934,52
Surigao-Dinagat-Caraga,shipments,2023-07-03,-0.4785737412327487,52
Surigao-Dinagat-Caraga,volume_mt,2023-07-03,-0.47856764717527595,52
Surigao-Dinagat-Caraga,shipments,2023-07-10,-0.486112926982779,52
Surigao-Dinagat-Caraga,volume_mt,2023-07-10,-0.48605959984801345,52
Surigao-Dinagat-Caraga,shipments,2023-07-17,-0.48772731178345724,52
Surigao-Dinagat-Caraga,volume_mt,2023-07-17,-0.48766441015696255,52
Surigao-Dinagat-Caraga,shipments,2023-07-24,-0.4926310298848158,52
Surigao-Dinagat-Caraga,volume_mt,2023-07-24,-0.4926473205386333,52
Surigao-Dinagat-Caraga,shipments,2023-07-31,-0.52172619895293,52
Surigao-Dinagat-Caraga,volume_mt,2023-07-31,-0.5209553106740901,52
Surigao-Dinagat-Caraga,shipments,2023-08-07,-0.5290924283246111,52
Surigao-Dinagat-Caraga,volume_mt,2023-08-07,-0.5282071172048224,52
Surigao-Dinagat-Caraga,shipments,2023-08-14,-0.5210800875787068,52
Surigao-Dinagat-Caraga,volume_mt,2023-08-14,-0.5206768248657277,52
Surigao-Dinagat-Caraga,shipments,2023-08-21,-0.5214314704345125,52
Surigao-Dinagat-Caraga,volume_mt,2023-08-21,-0.5209117723827744,52
Surigao-Dinagat-Caraga,shipments,2023-08-28,-0.5258633681646837,52
Surigao-Dinagat-Caraga,volume_mt,2023-08-28,-0.523247959062984,52
Surigao-Dinagat-Caraga,shipments,2023-09-04,-0.5282453404573723,52
Surigao-Dinagat-Caraga,volume_mt,2023-09-04,-0.5256030549400116,52
Surigao-Dinagat-Caraga,shipments,2023-09-11,-0.507532177243892,52
Surigao-Dinagat-Caraga,volume_mt,2023-09-11,-0.5058520020674406,52
Surigao-Dinagat-Caraga,shipments,2023-09-18,-0.5046975363784687,52
Surigao-Dinagat-Caraga,volume_mt,2023-09-18,-0.502920450047448,52
Surigao-Dinagat-Caraga,shipments,2023-09-25,-0.5075287552233512,52
Surigao-Dinagat-Caraga,volume_mt,2023-09-25,-0.5059434553026398,52
Surigao-Dinagat-Caraga,shipments,2023-10-02,-0.5056194693145053,52
